"";"name_roman";"type_roman";"name_ei";"type_ei";"betRom";"betEI";"diff"
"178";"Ariseria-Ad Serta";"station";"Tall Bashir";"settlement";0,313650761727588;0,025438946528332;-0,288211815199256
"179";"Ciliza-Urmagiganti";"settlement";"Kilis";"settlement";0,0150032681381668;0,000798084596967279;-0,0142051835411995
"180";"Ablastha";"settlement";"Ablastha";"settlement";0,0144300869827543;0;-0,0144300869827543
"181";"Arsameia";"settlement";"Karkar";"fort";0,0214389863743778;0,0336193136472466;0,0121803272728688
"182";"Edessa-Antiochia ad Callirhoem";"city";"Ruha";"city";0,00613404394388858;0;-0,00613404394388858
"183";"Batnae";"settlement";"Saruj";"settlement";0,011242395293881;0;-0,011242395293881
"184";"Umm Jilal";"settlement";"Tamna";"settlement";0,695178239227714;0,836691939345571;0,141513700117857
"185";"Galgulis";"settlement";"Jaljuliyah";"settlement";0,297450852229876;0;-0,297450852229876
"186";"Aere";"settlement";"Sanamayn";"settlement";0,0203931821609935;0;-0,0203931821609935
"187";"Cörten Tepesi";"settlement";"Sunyab";"settlement";0,16115440695862;0,259128092577813;0,0979736856191929
"188";"Tayyibat al-Imam";"settlement";"Sawwaran";"settlement";0,00587259289054251;0,842527932960894;0,836655340070351
"189";"Adada";"fort";"Sukhna";"settlement";0,0762934285283322;0,127543894652833;0,0512504661245009
"190";"Aracha";"fort";"Arak";"settlement";0,0828598722912162;0,130985634477255;0,0481257621860383
"191";"Iezreel";"settlement";"Zirin";"settlement";0,0549851676806275;0;-0,0549851676806275
"192";"el-Makhruq";"site";"Qarawat at-Tahta";"settlement";0,285363768917492;0,332003192338388;0,0466394234208958
"193";"Tilokbarina";"settlement";"Tall Aqibrin";"settlement";0,113690984966564;0,214734636871508;0,101043651904944
"194";"Moza-Kolonia";"settlement";"Qaluniya";"settlement";0,00697873196239127;0,0534217877094972;0,0464430557471059
"195";"Selebi";"settlement";"al-Qubab";"settlement";0,00528935592538589;0,0598064644852354;0,0545171085598495
"196";"Arulis";"settlement";"Arulis";"settlement";0,117974759917542;0,273743016759777;0,155768256842234
"197";"Teleda";"settlement";"Tall Ada";"settlement";0,0597516214993212;0,0359138068635275;-0,0238378146357937
"198";"Ain Dara";"settlement";"Ayn Dara";"settlement";0,046467896827392;0,0488826815642458;0,00241478473685378
"199";"Kale";"fort";"node_2";"node";0;0;0
"200";"Kubbe Tepe";"node";"node_3";"node";0,0178792297249736;0,00823024740622506;-0,00964898231874854
"201";"Claudiopolis";"settlement";"node_5";"node";0,000341897531298708;0,0175079808459697;0,017166083314671
"202";"Chabinas bridge";"bridge";"node_6";"node";0,0731359042686912;0,0395550678371907;-0,0335808364315005
"203";"Karakuş Tumulus";"site";"node_7";"node";0,0778621348484087;0,0561153232242618;-0,0217468116241469
"204";"Adiyaman east";"node";"node_8";"node";0,0136055105837398;0,0204010375099761;0,0067955269262363
"205";"Kersin";"node";"node_9";"node";0,111106641862336;0,102204708699122;-0,00890193316321385
"206";"Nastae";"station";"node_10";"node";0,0439036653426517;0,0615522745411014;0,0176486091984496
"207";"Octacuscum";"station";"node_11";"node";0,022595404494947;0,00783120510774142;-0,0147641993872055
"208";"Kerar Kale";"fort";"node_13";"node";0,014771984514053;0,000897845171588188;-0,0138741393424648
"209";"Lidar";"settlement";"node_14";"node";0,160370053798582;0,0344672785315243;-0,125902775267058
"210";"Elbistan West";"node";"node_15";"node";0;0;0
"211";"Hacimustafa";"node";"node_18";"node";0,0336668510231786;0,102553870710295;0,0688870196871166
"212";"Aliaria";"station";"node_19";"node";0,0561717532304289;0,134078212290503;0,0779064590600739
"213";"Zincirli";"node";"node_20";"node";0,0594298355875107;0,156025538707103;0,0965957031195923
"214";"Bağdınısağır";"node";"node_21";"node";0,0733772437025492;0,14580007980846;0,0724228361059105
"215";"Hasankoca";"node";"node_22";"node";0,083211825632259;0,187100957701516;0,103889132069257
"216";"Sicos Basilisses";"station";"node_23";"node";0,103182663784001;0,18420790103751;0,0810252372535088
